goal,target
Who developed the theory of relativity?,Albert Einstein
Who discovered penicillin?,Alexander Fleming
Who developed the theory of relativity?,Albert Einstein
Who discovered penicillin?,Alexander Fleming
What is the largest planet in our solar system?,Jupiter
What language is primarily spoken in Egypt?,Arabic
Who wrote 'To Kill a Mockingbird'?,Harper Lee
What is the capital of Brazil?,Brasília
Who painted the Mona Lisa?,Leonardo da Vinci
What language is primarily spoken in Egypt?,Arabic
What is the longest river in Africa?,The Nile
What is the longest river in Africa?,The Nile
What is the largest planet in our solar system?,Jupiter
What is the capital of Brazil?,Brasília
What is the longest river in Africa?,The Nile
What language is primarily spoken in Egypt?,Arabic
What language is primarily spoken in Egypt?,Arabic
What element has the chemical symbol Fe?,Iron
Who painted the Mona Lisa?,Leonardo da Vinci
What language is primarily spoken in Egypt?,Arabic
What is the capital of Brazil?,Brasília
What is the capital of Brazil?,Brasília
Who wrote 'To Kill a Mockingbird'?,Harper Lee
What element has the chemical symbol Fe?,Iron
Who developed the theory of relativity?,Albert Einstein
What year did the Berlin Wall fall?,1989
Who developed the theory of relativity?,Albert Einstein
What is the capital of Brazil?,Brasília
Who painted the Mona Lisa?,Leonardo da Vinci
Who discovered penicillin?,Alexander Fleming
What is the longest river in Africa?,The Nile
Who developed the theory of relativity?,Albert Einstein
Who painted the Mona Lisa?,Leonardo da Vinci
What element has the chemical symbol Fe?,Iron
Who discovered penicillin?,Alexander Fleming
What year did the Berlin Wall fall?,1989
What is the longest river in Africa?,The Nile
Who developed the theory of relativity?,Albert Einstein
What element has the chemical symbol Fe?,Iron
What element has the chemical symbol Fe?,Iron
What language is primarily spoken in Egypt?,Arabic
What is the largest planet in our solar system?,Jupiter
Who wrote 'To Kill a Mockingbird'?,Harper Lee
What is the largest planet in our solar system?,Jupiter
Who painted the Mona Lisa?,Leonardo da Vinci
What is the capital of Brazil?,Brasília
What is the capital of Brazil?,Brasília
What language is primarily spoken in Egypt?,Arabic
What is the largest planet in our solar system?,Jupiter
What is the capital of Brazil?,Brasília
Who wrote 'To Kill a Mockingbird'?,Harper Lee
Who developed the theory of relativity?,Albert Einstein
What year did the Berlin Wall fall?,1989
What year did the Berlin Wall fall?,1989
Who wrote 'To Kill a Mockingbird'?,Harper Lee
What is the longest river in Africa?,The Nile
What element has the chemical symbol Fe?,Iron
What element has the chemical symbol Fe?,Iron
Who wrote 'To Kill a Mockingbird'?,Harper Lee
Who discovered penicillin?,Alexander Fleming
What element has the chemical symbol Fe?,Iron
What year did the Berlin Wall fall?,1989
Who discovered penicillin?,Alexander Fleming
What is the largest planet in our solar system?,Jupiter
Who painted the Mona Lisa?,Leonardo da Vinci
What year did the Berlin Wall fall?,1989
What year did the Berlin Wall fall?,1989
Who wrote 'To Kill a Mockingbird'?,Harper Lee
Who painted the Mona Lisa?,Leonardo da Vinci
What is the largest planet in our solar system?,Jupiter
Who discovered penicillin?,Alexander Fleming
Who wrote 'To Kill a Mockingbird'?,Harper Lee
What is the longest river in Africa?,The Nile
Who painted the Mona Lisa?,Leonardo da Vinci
What year did the Berlin Wall fall?,1989